cityCode,cityName,areaFee
1100,札幌市,61488
1202,函館市,27170
1203,小樽市,13363
1204,旭川市,18658
1205,室蘭市,12131
1206,釧路市,14318
1207,帯広市,22057
1208,北見市,14924
1209,夕張市,2497
1210,岩見沢市,7578
1211,網走市,11555
1212,留萌市,8589
1213,苫小牧市,17223
1214,稚内市,12000
1215,美唄市,2439
1216,芦別市,4813
1217,江別市,18897
1218,赤平市,4000
1219,紋別市,6444
1220,士別市,5592
1221,名寄市,9748
1222,三笠市,1451
1223,根室市,5425
1224,千歳市,24832
1225,滝川市,6295
1226,砂川市,6779
1227,歌志内市,333
1228,深川市,5407
1229,富良野市,11486
1230,登別市,15973
1231,恵庭市,20203
1233,伊達市,16738
1234,北広島市,18074
1235,石狩市,13647
1236,北斗市,17463
1303,当別町,5852
1304,新篠津村,2574
1331,松前町,4985
1332,福島町,6100
1333,知内町,6190
1334,木古内町,10132
1337,七飯町,12351
1343,鹿部町,3130
1345,森町,3874
1346,八雲町,9677
1347,長万部町,
1361,江差町,17252
1362,上ノ国町,3095
1363,厚沢部町,2829
1364,乙部町,12500
1367,奥尻町,
1370,今金町,7519
1371,せたな町,3077
1391,島牧村,1130
1392,寿都町,1954
1393,黒松内町,4040
1394,蘭越町,4650
1395,ニセコ町,8893
1396,真狩村,3899
1397,留寿都村,1538
1398,喜茂別町,7424
1399,京極町,5871
1400,倶知安町,11974
1401,共和町,2789
1402,岩内町,6017
1403,泊村,2632
1404,神恵内村,
1405,積丹町,2797
1406,古平町,2969
1407,仁木町,8182
1408,余市町,8085
1409,赤井川村,
1423,南幌町,3145
1424,奈井江町,7083
1425,上砂川町,
1427,由仁町,6562
1428,長沼町,4722
1429,栗山町,7217
1430,月形町,
1431,浦臼町,
1432,新十津川町,2564
1433,妹背牛町,880
1434,秩父別町,
1436,雨竜町,2000
1437,北竜町,2333
1438,沼田町,4259
1452,鷹栖町,9653
1453,東神楽町,18689
1454,当麻町,8458
1455,比布町,1376
1456,愛別町,649
1457,上川町,
1458,東川町,7183
1459,美瑛町,5489
1460,上富良野町,10210
1461,中富良野町,2413
1462,南富良野町,2947
1463,占冠村,2451
1464,和寒町,3724
1465,剣淵町,952
1468,下川町,3062
1469,美深町,2173
1470,音威子府村,
1471,中川町,1111
1472,幌加内町,1592
1481,増毛町,8436
1482,小平町,3780
1483,苫前町,
1484,羽幌町,4225
1485,初山別村,91
1486,遠別町,2084
1487,天塩町,6250
1511,猿払村,3988
1512,浜頓別町,
1513,中頓別町,2929
1514,枝幸町,4260
1516,豊富町,4167
1517,礼文町,
1518,利尻町,
1519,利尻富士町,2619
1520,幌延町,
1543,美幌町,9446
1544,津別町,5405
1545,斜里町,4850
1546,清里町,3061
1547,小清水町,1245
1549,訓子府町,5184
1550,置戸町,
1552,佐呂間町,
1555,遠軽町,5401
1559,湧別町,3982
1560,滝上町,994
1561,興部町,5714
1562,西興部村,3684
1563,雄武町,4199
1564,大空町,10120
1571,豊浦町,8138
1575,壮瞥町,11929
1578,白老町,2416
1581,厚真町,4293
1584,洞爺湖町,8143
1585,安平町,6657
1586,むかわ町,588
1601,日高町,3105
1602,平取町,4574
1604,新冠町,4837
1607,浦河町,6421
1608,様似町,4059
1609,えりも町,3632
1610,新ひだか町,8943
1631,音更町,18235
1632,士幌町,5064
1633,上士幌町,3464
1634,鹿追町,3300
1635,新得町,3530
1636,清水町,3958
1637,芽室町,11754
1638,中札内村,4852
1639,更別村,4704
1641,大樹町,5281
1642,広尾町,2753
1643,幕別町,9904
1644,池田町,6990
1645,豊頃町,2640
1646,本別町,4672
1647,足寄町,7003
1648,陸別町,4815
1649,浦幌町,3421
1661,釧路町,10916
1662,厚岸町,2409
1663,浜中町,6500
1664,標茶町,6655
1665,弟子屈町,2619
1667,鶴居村,769
1668,白糠町,2742
1691,別海町,4452
1692,中標津町,13101
1693,標津町,
1694,羅臼町,5952
2201,青森市,30843
2202,弘前市,20521
2203,八戸市,21472
2204,黒石市,10105
2205,五所川原市,13602
2206,十和田市,12299
2207,三沢市,16890
