市区町村コード,市区町村名,面積あたり平均価格（円／㎡）(2015年)(住宅地),面積あたり平均価格（円／㎡）(2015年)(住宅地)　高価順,人口密度 人/km2 (2015),人口密度 人/km2 (2015) 大きい順,地方税(千円) 2015,地方税(千円) 2015 高い順,HP
1100,札幌市,61488,221,1741.216132,201,147,399,http://www.city.sapporo.jp/
1202,函館市,27170,512,392.3804325,428,119,812,http://www.city.hakodate.hokkaido.jp/
1203,小樽市,13363,980,500.036911,387,108,1023,http://www.city.otaru.lg.jp/
1204,旭川市,18658,746,454.2238451,405,114,892,http://www.city.asahikawa.hokkaido.jp/
1205,室蘭市,12131,1035,1095.004946,263,151,350,http://www.city.muroran.lg.jp/
1206,釧路市,14318,935,128.2114871,659,117,844,http://www.city.kushiro.lg.jp/
1207,帯広市,22057,632,273.3991023,500,129,646,http://www.city.obihiro.hokkaido.jp/
1208,北見市,14924,902,84.92724585,730,116,865,http://www.city.kitami.lg.jp/
1209,夕張市,2497,1594,11.58871401,822,92,1354,http://www.city.yubari.lg.jp/
1210,岩見沢市,7578,1292,175.6662925,610,98,1221,http://www.city.iwamizawa.hokkaido.jp/
1211,網走市,11555,1062,82.96602972,735,125,710,http://www.city.abashiri.hokkaido.jp/
1212,留萌市,8589,1232,74.60967666,749,105,1084,http://www.e-rumoi.jp/
1213,苫小牧市,17223,809,307.5965596,476,157,293,http://www.city.tomakomai.hokkaido.jp/
1214,稚内市,12000,1040,47.77601219,792,125,711,http://www.city.wakkanai.hokkaido.jp/
1215,美唄市,2439,1598,82.9522129,736,90,1397,http://www.city.bibai.hokkaido.jp/
1216,芦別市,4813,1452,16.96568945,820,103,1124,http://www.city.ashibetsu.hokkaido.jp/
1217,江別市,18897,737,643.8040346,342,101,1158,http://www.city.ebetsu.hokkaido.jp/
1218,赤平市,4000,1506,85.50200185,728,78,1582,http://www.city.akabira.hokkaido.jp/
1219,紋別市,6444,1352,27.81602831,817,121,772,http://mombetsu.jp/
1220,士別市,5592,1414,17.79274852,819,114,893,http://www.city.shibetsu.lg.jp/
1221,名寄市,9748,1152,54.27503737,784,107,1041,http://www.city.nayoro.lg.jp/
