prefCode,prefName,areaFee,populationDencity,temparatureAverage,salary,jobOffers
1,北海道,24076,68.5977426118656,8.5225902864259,387.69,1.02583333333333
2,青森県,17099,135.633064541211,11.2571232876712,342.8,1.01333333333333
3,岩手県,21430,83.7704197902326,11.7577168949772,337.03,1.16416666666667
4,宮城県,33989,320.49190908292,13.1364383561644,419.09,1.31833333333333
5,秋田県,16553,88.0815352470258,12.7287671232877,346.67,1.07166666666667
6,山形県,23349,120.548549093975,12.6522374429224,346.88,1.19583333333333
7,福島県,28927,139.372796768364,13.4059589041096,379.08,1.27666666666667
8,茨城県,22871,478.423371264183,14.9221917808219,462.4,1.1
9,栃木県,21783,308.086939830933,11.3502739726027,434.94,1.0825
10,群馬県,22314,310.124592719963,15.6232876712329,420.54,1.36916666666667
11,埼玉県,78020,1913.35855853009,15.1349315068493,433.61,0.948333333333333
12,千葉県,56966,1206.52056313778,16.7893150684932,435.26,1.015
13,東京都,324392,6204.73184526816,20.1052054794521,569.63,1.71916666666667
14,神奈川県,143565,3777.62535908538,16.9194520547945,503.36,0.944166666666666
15,新潟県,29963,183.109598087105,14.5340639269406,380.11,1.19583333333333
16,富山県,23675,251.040106977051,14.99,419.44,1.52
17,石川県,41035,275.676824912986,15.0880821917808,407.6,1.425
18,福井県,31388,187.744154024947,15.8393150684932,400.4,1.69666666666667
19,山梨県,20311,187.180113752278,13.6752054794521,427.81,1.01416666666667
20,長野県,21234,154.760795186409,12.0030136986301,416.61,1.22666666666667
21,岐阜県,27656,191.30418818,14.2786301369863,420.38,1.59333333333333
22,静岡県,53943,475.775997407878,13.9782387475538,434.07,1.20166666666667
23,愛知県,87949,1447.57593695231,16.8504109589041,488.73,1.46583333333333
24,三重県,32129,314.468169853145,16.1742465753425,442.71,1.24
25,滋賀県,47001,351.699984318177,15.6276712328767,448.51,1.045
26,京都府,98806,565.968227674922,16.0641095890411,456.01,1.19666666666667
27,大阪府,126847,4639.80022465541,17.5501369863014,490.29,1.28916666666667
28,兵庫県,71226,658.827898649919,16.2691780821918,448.44,0.9775
29,奈良県,61010,369.642174964981,16.2016438356164,436.43,1.075
30,和歌山県,31733,203.945875699518,17.7468493150685,403.16,1.06333333333333
31,鳥取県,23662,163.51092798791,16.1840182648402,360.51,1.20166666666667
32,島根県,25689,103.507328300717,16.0316894977169,365.92,1.25666666666667
33,岡山県,38147,270.352501871268,15.5127397260274,413.72,1.49666666666667
34,広島県,54484,335.398328191484,16.8326940639269,425.24,1.46833333333333
35,山口県,27472,229.819283021831,17.0482191780822,407.36,1.28
36,徳島県,31389,182.251455994598,17.4232876712329,404.19,1.23333333333333
37,香川県,26298,520.193634673075,17.3361643835616,405.36,1.48666666666667
38,愛媛県,42758,244.050865732226,17.6354794520548,386.34,1.21666666666667
39,高知県,36084,102.517483304992,18.0327397260274,374.55,0.9875
40,福岡県,46497,1023.09401572277,17.6353424657534,404.02,1.17083333333333
41,佐賀県,25022,341.226697258983,17.898904109589,359.72,0.958333333333333
42,長崎県,31137,333.290659206358,17.0427397260274,370.73,1.02583333333333
43,熊本県,29804,241.069078747586,16.0421917808219,367.83,1.13583333333333
44,大分県,28213,183.944674878168,17.1487671232877,365.93,1.1125
45,宮崎県,25336,142.730876033571,18.0964383561644,342.61,1.05666666666667
46,鹿児島県,26981,179.405912357432,20.428023483366,360.53,0.9375
47,沖縄県,47191,628.489633796148,24.5532876712329,329.36,0.806666666666667
